bikeid,birthyear,end_station,from_lat,from_long,from_station_id,from_station_name,gender,meters,overage,start_station,starttime,stoptime,to_lat,to_long,to_station_id,to_station_name,trip_id,tripduration,usertype
1183,1977,LaSalle St & Washington St,41.92197,-87.63854,191,Sedgwick St & Webster Ave,Male,4657,0,Sedgwick St & Webster Ave,8/7/2013 8:03,8/7/2013 8:27,41.882664,-87.63253,6,LaSalle St & Washington St,172872,1442,Subscriber
1183,1973,Canal St & Jackson Blvd,41.882664,-87.63253,6,LaSalle St & Washington St,Male,1315,0,LaSalle St & Washington St,8/7/2013 17:14,8/7/2013 17:20,41.87811421,-87.63997112,138,Canal St & Jackson Blvd,175838,357,Subscriber
1183,1967,Orleans St & Merchandise Mart Plaza,41.87811421,-87.63997112,138,Canal St & Jackson Blvd,Male,1593,0,Canal St & Jackson Blvd,8/8/2013 7:45,8/8/2013 7:53,41.888243,-87.63639,13,Orleans St & Merchandise Mart Plaza,178096,464,Subscriber
1183,1989,Dearborn St & Adams St,41.89993001,-87.63443007,46,Wells St & Walton St,Male,2692,0,Wells St & Walton St,8/9/2013 8:18,8/9/2013 8:32,41.8793563587,-87.6297910363,20,Dearborn St & Adams St,184835,840,Subscriber
1183,1968,LaSalle St & Washington St,41.8793563587,-87.6297910363,20,Dearborn St & Adams St,Male,573,0,Dearborn St & Adams St,8/9/2013 12:44,8/9/2013 12:48,41.882664,-87.63253,6,LaSalle St & Washington St,186550,270,Subscriber
1183,1972,Canal St & Adams St,41.882664,-87.63253,6,LaSalle St & Washington St,Male,1004,0,LaSalle St & Washington St,8/9/2013 14:28,8/9/2013 14:34,41.87923,-87.640015,11,Canal St & Adams St,187523,332,Subscriber
1183,,Larrabee St & Webster Ave,41.87923,-87.640015,11,Canal St & Adams St,,6026,0,Canal St & Adams St,8/9/2013 16:42,8/9/2013 17:03,41.92175,-87.64401,193,Larrabee St & Webster Ave,188665,1288,Customer
1183,,Orleans St & Merchandise Mart Plaza,41.92175,-87.64401,193,Larrabee St & Webster Ave,,4391,0,Larrabee St & Webster Ave,8/9/2013 23:47,8/10/2013 0:09,41.888243,-87.63639,13,Orleans St & Merchandise Mart Plaza,191451,1335,Customer
1183,,Clark St & North Ave,41.89102,-87.6173,51,McClurg Ct & Illinois St,,4117,0,McClurg Ct & Illinois St,8/10/2013 10:25,8/10/2013 10:50,41.911791,-87.631841,128,Clark St & North Ave,192557,1511,Customer
1183,,Lake Shore Dr & Ohio St,41.9256018819,-87.6537080423,60,Sheffield Ave & Fullerton Ave,,6001,6.0,Sheffield Ave & Fullerton Ave,8/10/2013 13:07,8/10/2013 14:22,41.89257,-87.614492,337,Lake Shore Dr & Ohio St,194336,4447,Customer
1183,,Lake Shore Dr & Ohio St,41.89257,-87.614492,337,Lake Shore Dr & Ohio St,,0,0,Lake Shore Dr & Ohio St,8/10/2013 14:53,8/10/2013 15:16,41.89257,-87.614492,337,Lake Shore Dr & Ohio St,195886,1408,Customer
1183,,Streeter Dr & Illinois St,41.8810317,-87.62408432,8,Millennium Park,,2194,2.0,Millennium Park,8/10/2013 15:43,8/10/2013 16:26,41.891071,-87.6122,22,Streeter Dr & Illinois St,196535,2561,Customer
1183,,LaSalle St & Illinois St,41.891071,-87.6122,22,Streeter Dr & Illinois St,,2034,6.0,Streeter Dr & Illinois St,8/10/2013 16:33,8/10/2013 17:58,41.890749,-87.63206,430,LaSalle St & Illinois St,197234,5155,Customer
1183,,Wilton Ave & Diversey Pkwy,41.902924,-87.637715,172,Orleans St & Elm St,,3973,0,Orleans St & Elm St,8/10/2013 22:00,8/10/2013 22:20,41.93250008,-87.65268082,66,Wilton Ave & Diversey Pkwy,200298,1204,Customer
1183,,Lincoln Ave & Diversey Pkwy,41.94688,-87.65445,62,Sheffield Ave & Addison St,,2098,0,Sheffield Ave & Addison St,8/12/2013 22:06,8/12/2013 22:18,41.932225,-87.658617,226,Lincoln Ave & Diversey Pkwy,214213,752,Customer
1183,,Clark St & Wellington Ave,41.932225,-87.658617,226,Lincoln Ave & Diversey Pkwy,,1380,0,Lincoln Ave & Diversey Pkwy,8/13/2013 14:49,8/13/2013 14:57,41.9364968219,-87.6475386582,232,Clark St & Wellington Ave,217777,463,Customer
1183,1987,Dayton St & North Ave,41.9364968219,-87.6475386582,232,Clark St & Wellington Ave,Female,3530,0,Clark St & Wellington Ave,8/13/2013 17:03,8/13/2013 17:18,41.9105780349,-87.6494219288,58,Dayton St & North Ave,219051,864,Subscriber
1183,1987,Wood St & North Ave,41.9105780349,-87.6494219288,58,Dayton St & North Ave,Female,3399,0,Dayton St & North Ave,8/13/2013 17:19,8/13/2013 17:35,41.910329,-87.672516,223,Wood St & North Ave,219284,960,Subscriber
1183,1987,Damen Ave & Pierce Ave,41.910329,-87.672516,223,Wood St & North Ave,Female,875,0,Wood St & North Ave,8/13/2013 17:35,8/13/2013 17:41,41.9093960065,-87.6776919292,65,Damen Ave & Pierce Ave,219492,381,Subscriber
1183,1976,Milwaukee Ave & Wabansia Ave,41.9093960065,-87.6776919292,65,Damen Ave & Pierce Ave,Male,557,0,Damen Ave & Pierce Ave,8/13/2013 17:54,8/13/2013 18:00,41.912616,-87.681391,243,Milwaukee Ave & Wabansia Ave,219761,344,Subscriber
1183,1987,Western Ave & Winnebago Ave,41.912616,-87.681391,243,Milwaukee Ave & Wabansia Ave,Female,588,0,Milwaukee Ave & Wabansia Ave,8/13/2013 18:48,8/13/2013 18:52,41.915533,-87.687051,68,Western Ave & Winnebago Ave,220212,229,Subscriber
1183,1978,Damen Ave & Chicago Ave,41.915533,-87.687051,68,Western Ave & Winnebago Ave,Female,2634,0,Western Ave & Winnebago Ave,8/13/2013 20:05,8/13/2013 20:16,41.895769,-87.67722,132,Damen Ave & Chicago Ave,220759,694,Subscriber
1183,,Greenview Ave & Fullerton Ave,41.8777079559,-87.6353211408,19,Franklin St & Jackson Blvd,,6450,0,Franklin St & Jackson Blvd,8/14/2013 15:41,8/14/2013 15:53,41.92533,-87.6658,295,Greenview Ave & Fullerton Ave,224839,732,Customer
1183,1987,Franklin St & Jackson Blvd,41.9364968219,-87.6475386582,232,Clark St & Wellington Ave,Male,7724,0,Clark St & Wellington Ave,8/15/2013 8:42,8/15/2013 9:09,41.8777079559,-87.6353211408,19,Franklin St & Jackson Blvd,229200,1663,Subscriber
1183,1971,State St & Harrison St,41.8777079559,-87.6353211408,19,Franklin St & Jackson Blvd,Male,1139,0,Franklin St & Jackson Blvd,8/15/2013 13:57,8/15/2013 14:03,41.8739580629,-87.6277394859,30,State St & Harrison St,231071,347,Subscriber
1183,,Clinton St & Roosevelt Rd,41.8739580629,-87.6277394859,30,State St & Harrison St,,1864,0,State St & Harrison St,8/15/2013 15:04,8/15/2013 15:16,41.8671177825,-87.6410879593,327,Clinton St & Roosevelt Rd,231517,723,Customer
1183,,State St & Wacker Dr,41.8671177825,-87.6410879593,327,Clinton St & Roosevelt Rd,,3721,2.0,Clinton St & Roosevelt Rd,8/15/2013 15:50,8/15/2013 16:39,41.887155,-87.62775,339,State St & Wacker Dr,231802,2898,Customer
1183,,Streeter Dr & Illinois St,41.887155,-87.62775,339,State St & Wacker Dr,,1835,2.0,State St & Wacker Dr,8/15/2013 16:44,8/15/2013 17:19,41.891071,-87.6122,22,Streeter Dr & Illinois St,232207,2110,Customer
1183,,Michigan Ave & Washington St,41.891071,-87.6122,22,Streeter Dr & Illinois St,,2286,2.0,Streeter Dr & Illinois St,8/15/2013 17:27,8/15/2013 18:20,41.8838927658,-87.6246491409,1,Michigan Ave & Washington St,232677,3214,Customer
1183,1987,Dearborn Pkwy & Delaware Pl,41.8838927658,-87.6246491409,1,Michigan Ave & Washington St,Male,2091,0,Michigan Ave & Washington St,8/15/2013 18:25,8/15/2013 18:34,41.899007,-87.629928,173,Dearborn Pkwy & Delaware Pl,233329,578,Subscriber
1183,,Ashland Ave & Lake St,41.899007,-87.629928,173,Dearborn Pkwy & Delaware Pl,,4780,0,Dearborn Pkwy & Delaware Pl,8/15/2013 18:48,8/15/2013 19:05,41.88541,-87.66732,73,Ashland Ave & Lake St,233544,1011,Customer
1183,1985,Ashland Ave & Division St,41.90068,-87.6626,290,Noble St & Milwaukee Ave,Male,551,0,Noble St & Milwaukee Ave,8/17/2013 11:38,8/17/2013 11:41,41.903456,-87.66777,61,Ashland Ave & Division St,245651,186,Subscriber
1183,1983,Clark St & Elm St,41.903456,-87.66777,61,Ashland Ave & Division St,Male,3082,0,Ashland Ave & Division St,8/17/2013 11:45,8/17/2013 12:05,41.903233,-87.631253,349,Clark St & Elm St,245758,1185,Subscriber
1183,1976,Clinton St & Washington Blvd,41.903233,-87.631253,349,Clark St & Elm St,Male,3046,0,Clark St & Elm St,8/17/2013 14:13,8/17/2013 14:28,41.88338,-87.64117,10,Clinton St & Washington Blvd,248008,893,Subscriber
1183,1976,Ogden Ave & Chicago Ave,41.88338,-87.64117,10,Clinton St & Washington Blvd,Male,2073,0,Clinton St & Washington Blvd,8/17/2013 14:35,8/17/2013 14:50,41.896362458,-87.6540612729,44,Ogden Ave & Chicago Ave,248337,883,Subscriber
1183,,Desplaines St & Kinzie St,41.896362458,-87.6540612729,44,Ogden Ave & Chicago Ave,,1229,0,Ogden Ave & Chicago Ave,8/17/2013 16:07,8/17/2013 16:15,41.888716036,-87.6444478533,39,Desplaines St & Kinzie St,249638,446,Customer
1183,,Dearborn St & Monroe St,41.888716036,-87.6444478533,39,Desplaines St & Kinzie St,,2142,0,Desplaines St & Kinzie St,8/17/2013 16:36,8/17/2013 16:50,41.881319815,-87.6295209193,49,Dearborn St & Monroe St,250089,849,Customer
1183,,Wabash Ave & Grand Ave,41.881319815,-87.6295209193,49,Dearborn St & Monroe St,,1462,0,Dearborn St & Monroe St,8/17/2013 17:21,8/17/2013 17:36,41.891738,-87.626937,4,Wabash Ave & Grand Ave,250716,945,Customer
1183,,Aberdeen St & Madison St,41.891738,-87.626937,4,Wabash Ave & Grand Ave,,3484,0,Wabash Ave & Grand Ave,8/17/2013 18:01,8/17/2013 18:22,41.881487,-87.654752,156,Aberdeen St & Madison St,251178,1246,Customer
1183,,Jefferson St & Monroe St,41.87772613,-87.65478743,157,Aberdeen St & Jackson Blvd,,1282,0,Aberdeen St & Jackson Blvd,8/18/2013 17:52,8/18/2013 17:59,41.880422,-87.642746,38,Jefferson St & Monroe St,261979,437,Customer
1183,,Larrabee St & Kingsbury St,41.880422,-87.642746,38,Jefferson St & Monroe St,,2773,0,Jefferson St & Monroe St,8/18/2013 18:49,8/18/2013 19:03,41.897764,-87.642884,12,Larrabee St & Kingsbury St,262651,857,Customer
1183,1986,Clark St & Elm St,41.897764,-87.642884,12,Larrabee St & Kingsbury St,Male,1711,0,Larrabee St & Kingsbury St,8/18/2013 19:48,8/18/2013 19:56,41.903233,-87.631253,349,Clark St & Elm St,263201,455,Subscriber
1183,,Clark St & Elm St,41.903233,-87.631253,349,Clark St & Elm St,,0,0,Clark St & Elm St,8/18/2013 21:51,8/18/2013 22:08,41.903233,-87.631253,349,Clark St & Elm St,263912,1024,Customer
1183,1987,Clark St & Congress Pkwy,41.903233,-87.631253,349,Clark St & Elm St,Male,3036,0,Clark St & Elm St,8/19/2013 6:14,8/19/2013 6:24,41.8759326655,-87.6305845355,9,Clark St & Congress Pkwy,264451,591,Subscriber
1183,1964,Orleans St & Merchandise Mart Plaza,41.8759326655,-87.6305845355,9,Clark St & Congress Pkwy,Female,1816,0,Clark St & Congress Pkwy,8/19/2013 6:25,8/19/2013 6:33,41.888243,-87.63639,13,Orleans St & Merchandise Mart Plaza,264469,477,Subscriber
1183,1982,Dayton St & North Ave,41.888243,-87.63639,13,Orleans St & Merchandise Mart Plaza,Male,3090,0,Orleans St & Merchandise Mart Plaza,8/19/2013 12:09,8/19/2013 12:21,41.9105780349,-87.6494219288,58,Dayton St & North Ave,266571,727,Subscriber
1183,1970,Damen Ave & Division St,41.9093960065,-87.6776919292,65,Damen Ave & Pierce Ave,Male,737,0,Damen Ave & Pierce Ave,8/20/2013 10:45,8/20/2013 10:47,41.90331,-87.67695,136,Damen Ave & Division St,274079,154,Subscriber
1183,1977,Eckhart Park,41.90331,-87.67695,136,Damen Ave & Division St,Male,2114,0,Damen Ave & Division St,8/20/2013 18:40,8/20/2013 18:48,41.89637337,-87.66098386,289,Eckhart Park,278296,491,Subscriber
1183,,Clark St & North Ave,41.89637337,-87.66098386,289,Eckhart Park,,4435,0,Eckhart Park,8/21/2013 8:00,8/21/2013 8:14,41.911791,-87.631841,128,Clark St & North Ave,281080,800,Customer
1183,1982,Lake Shore Dr & Wellington Ave,41.911791,-87.631841,128,Clark St & North Ave,Male,3360,0,Clark St & North Ave,8/21/2013 12:09,8/21/2013 12:20,41.936669,-87.636794,234,Lake Shore Dr & Wellington Ave,282848,696,Subscriber
1183,,Halsted St & Madison St,41.936669,-87.636794,234,Lake Shore Dr & Wellington Ave,,7681,2.0,Lake Shore Dr & Wellington Ave,8/21/2013 13:08,8/21/2013 13:55,41.88175,-87.6478,159,Halsted St & Madison St,283285,2855,Customer
1183,1966,Theater on the Lake,41.88175,-87.6478,159,Halsted St & Madison St,Male,7327,1.5,Halsted St & Madison St,8/22/2013 10:42,8/22/2013 11:26,41.926277,-87.630834,350,Theater on the Lake,289924,2638,Subscriber
1183,,Streeter Dr & Illinois St,41.926277,-87.630834,350,Theater on the Lake,,4969,0,Theater on the Lake,8/22/2013 18:03,8/22/2013 18:26,41.891071,-87.6122,22,Streeter Dr & Illinois St,292147,1385,Customer
1183,,Museum Campus,41.891071,-87.6122,22,Streeter Dr & Illinois St,,4119,0,Streeter Dr & Illinois St,8/22/2013 19:54,8/22/2013 20:09,41.865212,-87.617759,29,Museum Campus,293000,950,Customer
1183,,Racine Ave & Congress Pkwy,41.865861,-87.646611,166,Halsted St & James M Rochford St,,1837,0,Halsted St & James M Rochford St,8/23/2013 11:09,8/23/2013 11:21,41.87464,-87.65703,76,Racine Ave & Congress Pkwy,296317,723,Customer
1183,1979,Wabash Ave & Roosevelt Rd,41.87464,-87.65703,76,Racine Ave & Congress Pkwy,Male,3438,0,Racine Ave & Congress Pkwy,8/23/2013 16:32,8/23/2013 16:52,41.8671729952,-87.6259550069,31,Wabash Ave & Roosevelt Rd,299771,1178,Subscriber
1183,,Clark St & Randolph St,41.8671729952,-87.6259550069,31,Wabash Ave & Roosevelt Rd,,2392,0,Wabash Ave & Roosevelt Rd,8/23/2013 17:06,8/23/2013 17:20,41.884576228,-87.63188991,5,Clark St & Randolph St,300260,866,Customer
1183,1971,Damen Ave & Cortland Ave,41.884576228,-87.63188991,5,Clark St & Randolph St,Male,5799,0,Clark St & Randolph St,8/23/2013 17:31,8/23/2013 18:00,41.916027,-87.677411,133,Damen Ave & Cortland Ave,300773,1790,Subscriber
1183,,Ashland Ave & Division St,41.916027,-87.677411,133,Damen Ave & Cortland Ave,,1809,0,Damen Ave & Cortland Ave,8/24/2013 9:45,8/24/2013 10:15,41.903456,-87.66777,61,Ashland Ave & Division St,304721,1762,Customer
1183,,Columbus Dr & Randolph St,41.891071,-87.6122,22,Streeter Dr & Illinois St,,2193,0,Streeter Dr & Illinois St,8/24/2013 15:00,8/24/2013 15:29,41.8853,-87.62077,263,Columbus Dr & Randolph St,309358,1784,Customer
1183,,Kingsbury St & Erie St,41.8853,-87.62077,263,Columbus Dr & Randolph St,,2619,0,Columbus Dr & Randolph St,8/24/2013 17:25,8/24/2013 17:38,41.89384315,-87.64185116,265,Kingsbury St & Erie St,311971,784,Customer
1183,1959,Sedgwick St & Webster Ave,41.89384315,-87.64185116,265,Kingsbury St & Erie St,Male,3872,0,Kingsbury St & Erie St,8/24/2013 19:43,8/24/2013 20:11,41.92197,-87.63854,191,Sedgwick St & Webster Ave,313912,1685,Subscriber
1183,1979,Damen Ave & Pierce Ave,41.92197,-87.63854,191,Sedgwick St & Webster Ave,Male,4451,0,Sedgwick St & Webster Ave,8/24/2013 20:34,8/24/2013 20:53,41.9093960065,-87.6776919292,65,Damen Ave & Pierce Ave,314357,1147,Subscriber
1183,,Sheridan Rd & Montrose Ave,41.9093960065,-87.6776919292,65,Damen Ave & Pierce Ave,,7916,2.0,Damen Ave & Pierce Ave,8/24/2013 21:05,8/24/2013 21:39,41.96167,-87.65464,130,Sheridan Rd & Montrose Ave,314573,2048,Customer
1183,1980,Canal St & Madison St,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,Male,2532,0,Lake Shore Dr & Monroe St,8/25/2013 4:45,8/25/2013 4:59,41.882091,-87.639833,341,Canal St & Madison St,316108,866,Subscriber
1183,1989,Kingsbury St & Erie St,41.882091,-87.639833,341,Canal St & Madison St,Male,1828,0,Canal St & Madison St,8/25/2013 13:01,8/25/2013 13:08,41.89384315,-87.64185116,265,Kingsbury St & Erie St,319418,379,Subscriber
1183,,Kingsbury St & Erie St,41.89384315,-87.64185116,265,Kingsbury St & Erie St,,0,30.0,Kingsbury St & Erie St,8/25/2013 13:19,8/25/2013 16:09,41.89384315,-87.64185116,265,Kingsbury St & Erie St,319708,10178,Customer
1183,1983,Michigan Ave & Lake St,41.89384315,-87.64185116,265,Kingsbury St & Erie St,Male,2185,0,Kingsbury St & Erie St,8/26/2013 8:17,8/26/2013 8:29,41.8860581151,-87.6242893413,43,Michigan Ave & Lake St,327127,708,Subscriber
1183,1988,Clark St & Randolph St,41.8860581151,-87.6242893413,43,Michigan Ave & Lake St,Male,961,0,Michigan Ave & Lake St,8/26/2013 9:23,8/26/2013 9:29,41.884576228,-87.63188991,5,Clark St & Randolph St,327647,350,Subscriber
1183,1997,Canal St & Adams St,41.884576228,-87.63188991,5,Clark St & Randolph St,Male,1255,0,Clark St & Randolph St,8/26/2013 12:33,8/26/2013 12:44,41.87923,-87.640015,11,Canal St & Adams St,328892,683,Subscriber
1183,1955,Clinton St & Tilden St,41.8807,-87.63947,56,Canal St & Monroe St,Male,827,0,Canal St & Monroe St,8/26/2013 18:38,8/26/2013 18:42,41.875885,-87.640795,37,Clinton St & Tilden St,332318,241,Subscriber
